,Apartment name,Distance from  WSU (miles),Address,No. of avaliable unit sizes,furnished,Do sharing avaliable,Bills not included in the rent,Bills paid by the management,Amentities provided by the management,Required guarantor,Required SSN,Require security deposit,Documents required for application,Rental insurance required,free parking lot available,Minimum lease term availability in months,In unit washer or dyer,Pets allowed,location,LATITUDE,LONGITUDE
28,Inter Faith Villas,4.3,"930 N Market St, Wichita, KS 67214","3-(1 bed 1 bath 482sq ft), (2 bed 1 bath 758sq ft), (3 bed 1 bath 998sq ft)",No,Yes,Yes,No,"Laundry Facilities, Clubhouse, Grill, Maintenance on site, Playground, Picnic Area, Property Manager on Site, Fenced Lot, Trash Pickup - Curbside, Courtyard",No,Yes,Yes,"Proof of income,SSN, Previous renter history",Yes,Yes,12,Yes,Yes,"930, North Market Street, Wichita, Sedgwick County, Kansas, 67214, United States",37.699365428571426,-97.33677977551021
29,inwood Crossing Apartments,4.7,"3540 N Inwood St, Wichita, KS 67226","3-( 1bed 1 bath 661sq ft), (2 bed 2 bath 923sq ft), (3 bed 2 bath 1105sq ft)",No,Yes,Yes,No,"Relaxing Lounge Pool with Sundeck, Picnic Areas with Barbecues, Theater Room, Dog Park, Fitness Center, Garages and Covered Parking Available, Business Center, Cable Available, Clubhouse, Easy Access to Freeways and Shopping, Energizing Fitness Center, Gated Community, Online Resident Portal, Outdoor Space, Pet Friendly, Pet Waste Stations, Playground Area, Public Parks Nearby, Some Paid Utilities",No,Yes,Yes,"Proof of income,SSN, Previous renter history",Yes,Yes,12,Yes,Yes,"3540, North Inwood Street, Wichita, Sedgwick County, Kansas, 67226, United States",37.74669892124202,-97.25136131517502
35,Market Square Apartments,3.2,"1030 N Market St, Wichita, KS 67214","1-(2 bed 2 bath 1046 -1210 sq ft), 1- ( 2 bed 2 bath 928-1040 sq ft) , 1 -( 1 bed 1 bath 728-923 sq ft)",No,Yes,Yes,Yes,"Laundry facilities, club house, fitness center, maintenance on site, dishwasher, disposal, refrigerator, oven",No,Yes,Yes,Yes,Yes,Yes,12,Yes,Yes,"1030, North Market Street, Wichita, Sedgwick County, Kansas, 67214, United States",37.70102736734694,-97.3367741632653
36,Market Street lofts,2.2,"206 E 18th St N, Wichita, KS 67214", Zero Avaliable,No,Yes,Yes,Yes,"ceiling fans, smoke free, air conditioning, heating, cable ready, dishwasher, oven, freezer, ice maker, disposal, oven, handrails",No,Yes,Yes,Yes,Yes,Yes,12,Yes,Yes,"206, East 18th Street North, Fairview, Wichita, Sedgwick County, Kansas, 67214, United States",37.71721706122449,-97.3365892244898
37,Meadowlark Apartments,3.8,"2701 E Harry St, Wichita, KS 67211","1- (2 bed 1 bath 850 sq ft ), 1 -(2 bed 1 bath 950 sq ft )",No,Yes,Yes,Yes,"high speed internet access, ceiling fans, dishwasher, cable ready, storage unit, oven, microwave, washer/dryer hookups, microwave",No,Yes,Yes,Yes,Yes,Yes,12,Yes,Yes,"2701, East Harry Street, Mead Neighborhood, Wichita, Sedgwick County, Kansas, 67211, United States",37.664454,-97.304827
38,megreb,2.9,"6545 E 34th St N, Wichita, KS 67226","2-(1 bed,1 bath-640 sq ft),(2 bed,1 bath-772 sq ft)",No,Yes,Yes,No,"Laundry, courtyard, air conditioning, refrigerator, dishwasher, microwave, ceiling fans, garbage disposal, Oven",No,Yes,Yes,Yes,Yes,Yes,12,Yes,Yes,"6545, East 34th Street North, Wichita, Sedgwick County, Kansas, 67226, United States",37.74733109008022,-97.26114030218741
39,Merina Point Apartments,3.9,"1985 N Amidon Ave Wichita, KS 67203",3-( 2 bed 2 bath 1104 sq ft) 3-( 1 bed 1 bath 741 sq ft ),No,Yes,Yes,Yes,"""Pet friendly (cats and small/medium dogs allowed), Gated secure community, Dedicated private parking,Security cameras,Lounge pool,Sand Volleyball Court,High Speed WiFi,Roommate matching,Outdoor grill station
""",No,Yes,Yes,Yes,Yes,Yes,6,Yes,Yes,"1985, North Amidon Avenue, Wichita, Sedgwick County, Kansas, 67203, United States",37.71965658258421,-97.36315900229539
40,Midtown Place Apartments,3.5," 900 N Waco Ave  B-, Wichita, KS 67203","682sqft (1 Bed, 1 Bath w/Loft), 518sqft (1 Bed, 1 Bath w/ Fireplace & Balcony)",No,Yes,Yes,Yes,"Locked entry/intercom, Well-lit door side parking, Private pool, Wood-burning fireplaces, Fully-equipped kitchens, Central heat and air, Private balconies, Washer/dryer hookups in select units, On-site laundry facilities",No,Yes,Yes,Yes,No,Yes,12,Yes,Yes,"Wichita, Sedgwick County, Kansas, United States",37.6922361,-97.3375448
41,Mullen Court Apartments,2.7,"1150 S Topeka St, Wichita, KS",1Bed 1Bath | $400-$415 | 600 sq ft,No,Yes,Yes,Yes,"Laundry, courtyard, air conditioning, refrigerator, dishwasher, microwave, ceiling fans, garbage disposal, Oven",No,Yes,Yes,Yes,No,Yes,12,Yes,No,"1150, South Topeka Street, Wichita, Sedgwick County, Kansas, 67211, United States",37.67240469387755,-97.33412044897959
42,North Park Residencies,2.8,"2801 N Rock Rd, Wichita, KS",1 Bed1 Bath $680 |633 sqft| 1 Bed1 Bath $720| 710 sqft | 2 Beds2 Baths $825| 862 sqft ,No,Yes,Yes,Yes,"Air conditioning, balcony, deck, dishwasher, garbage disposal, refrigerator, microwave, oven, fireplace, storage, storm shelter, pool, gazebos",No,Yes,Yes,Yes,No,Yes,6,yes,Yes,"2801, North Rock Road, Wichita, Sedgwick County, Kansas, 67226, United States",37.734377,-97.244746
