,RESTAURANT NAME,DISTANCE FROM WSU,ADDRESS,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,SUNDAY,TYPE,RATINGS_OUTOF5,NUM_REVIEWS,MIN_COST,MAX_COST,ON_CAMPUS,Hours_Monday,Hours_Tuesday,Hours_Wednesday,Hours_Thursday,Hours_Friday,Hours_Saturday,Hours_Sunday,TotalHours,location,LATITUDE,LONGITUDE
20,Tad's carryout,0.6,"2545 N Hillside St, Wichita, KS 67219",11AM-8PM,11AM-8PM,11AM-8PM,11AM-8PM,11AM-8PM,11AM-8PM,11AM-8PM,Restaurant,4.6,67,10.0,20.0,False,9.0,9.0,9.0,9.0,9.0,9.0,9.0,63.0,"2545, North Hillside Street, Wichita, Sedgwick County, Kansas, 67219, United States",37.72944830769231,-97.29915830769231
21,Meals and deals on the roll llc,0.8,"5706 E 19th St N, Wichita, KS 67208",Null,Null,Null,Null,Null,Null,Null,soul food restaurant,4.5,14,,,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"5706, East 19th Street North, Crestview Heights, Wichita, Sedgwick County, Kansas, 67208, United States",37.71982752875197,-97.26904836425825
22,Freddy's  frozen custard and steakburgers,0.3,"1845 Fairmount St, Wichita, KS 67260",10AM-7PM,10AM-7PM,10AM-7PM,10AM-7PM,10AM-5PM,0,0,Fast Food restaurant,4.3,17,1.0,10.0,True,9.0,9.0,9.0,9.0,7.0,,,43.0,"Wichita State University, 1845, Fairmount Street, Wichita, Sedgwick County, Kansas, 67260, United States",37.71934295,-97.28988783173023
23,Sazon Mexican restaurant,0.3,"2624 E 21st St N, Wichita, KS 67214",0,0,9AM-7PM,9AM-7PM,9AM-7PM,9AM-7PM,9AM-7PM,Mexican restaurant,4.5,187,10.0,20.0,False,,,10.0,10.0,10.0,10.0,10.0,50.0,"2624, East 21st Street North, Wichita, Sedgwick County, Kansas, 67214, United States",37.722805026845634,-97.30619670469798
24,Da cajun restaurant,0.9,"6249 E 21st St N, Wichita, KS 67208", 11 AM–2:30 PM,11AM-8PM,11AM-8PM,11AM-8PM,11AM-9PM,11AM-9PM,0,Cajun  restaurant,4.3,893,10.0,20.0,False,,9.0,9.0,9.0,10.0,10.0,,47.0,"Asian Groceries, 6249, East 21st Street North, Minneha, Wichita, Sedgwick County, Kansas, 67208, United States",37.7226367,-97.2641341
25,Fat boyz BBQ,0.7,"1901 E 21st St N, Wichita, KS 67214",,,,,,,,soul food restaurant,4.1,30,,,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Mr MC's Market, 1901, East 21st Street North, Wichita, Sedgwick County, Kansas, 67214, United States",37.7224009,-97.3147997
26,Kababji grill,1.0,"6257 E 21st St N, Wichita, KS 67208",11AM-9PM,11AM-9PM,11AM-9PM,11AM-9PM,11AM-10:30PM,11AM-10:30PM,11AM-8PM,Restaurant,4.7,88,10.0,20.0,False,10.0,10.0,10.0,10.0,11.5,11.5,9.0,72.0,"6257, East 21st Street North, Minneha, Wichita, Sedgwick County, Kansas, 67208, United States",37.72292009395973,-97.2638204966443
27,Deshi Curry,0.9,"6249 E 21st St N, Wichita, KS 67208",11AM-11PM,11AM-11PM,11AM-11PM,11AM-11PM,11AM-11PM,11AM-11PM,11AM-11PM,Indian restaurant,3.5,309,10.0,20.0,False,12.0,12.0,12.0,12.0,12.0,12.0,12.0,84.0,"Asian Groceries, 6249, East 21st Street North, Minneha, Wichita, Sedgwick County, Kansas, 67208, United States",37.7226367,-97.2641341
28,Sbarro,0.2,"4802 E 21st St N, Wichita, KS 67208",7am-9pm,7am-9pm,7am-9pm,7am-9pm,7am-9pm,7am-9pm,7am-9pm,Pizza restaurant,3.6,16,,,False,,,,,,,,0.0,"Kwik Shop, 4802, East 21st Street North, Wichita, Sedgwick County, Kansas, 67208, United States",37.7233307,-97.28003
29,Church's Chicken,0.5,"4780 E 13th St N, Wichita, KS 67208",10:30AM-10PM,10:30AM-10PM,10:30AM-10PM,10:30AM-10PM,10:30AM-11PM,10:30AM-11PM,11AM-10PM,Fast Food restaurant,3.5,1057,10.0,20.0,False,11.5,11.5,11.5,11.5,12.5,12.5,11.0,82.0,"4780, East 13th Street North, Wichita, Sedgwick County, Kansas, 67208, United States",37.708437265306124,-97.2809163877551
30,Taco Bell,2.1,"2230 N Rock Rd, Wichita, KS 67226",7am-12pm,7am-12pm,7am-12pm,7am-12pm,7am-12pm,7am-12pm,7am-12pm,Fast Food restaurant,3.4,428,1.0,10.0,False,,,,,,,,0.0,"2230, North Rock Road, Minneha, Wichita, Sedgwick County, Kansas, 67226, United States",37.723915250000005,-97.24449625
31,Just like Mama's Kitchen,1.4,"2504 E 9th St N, Wichita, KS 67214",11AM-8PM,11AM-8PM,11AM-8PM,11AM-8PM,11AM-9PM,11AM-9PM,12pm-5pm,Restaurant,4.1,172,10.0,20.0,False,9.0,9.0,9.0,9.0,10.0,10.0,,56.0,"2504, East 9th Street North, Wichita, Sedgwick County, Kansas, 67214, United States",37.70100332653061,-97.30682981632654
32,Jason's Deli,2.0,"1821 N Rock Rd, Wichita, KS 67206",10am-10pm,10am-10pm,10am-10pm,10am-10pm,10am-10pm,10am-10pm,10am-10pm,Restaurant,4.5,1087,10.0,20.0,False,,,,,,,,0.0,"1821, North Rock Road, Minneha, Wichita, Sedgwick County, Kansas, 67206, United States",37.71610015301189,-97.24473815271473
